week,team_id,team_name,player_id,player_name,position,slot,points,projected
1,5,Goood Times,34095,Isaiah Likely,TE,BN,19.9,6.06
1,8,Mean Machine 22,33113,Juwan Johnson,TE,BN,10.2,5.84
1,5,Goood Times,42744,Mike Washington Jr.,RB,BN,2.05,4.67
1,8,Mean Machine 22,42796,Emmett Johnson,RB,BN,4.4,2.69
1,5,Goood Times,41881,Kaleb Johnson,RB,BN,0.0,1.83
1,8,Mean Machine 22,34054,Brian Robinson,RB,BN,1.55,3.07
1,5,Goood Times,42630,Jordyn Tyson,WR,IR,0.0,0.0
1,8,Mean Machine 22,,,,IR,,
1,6,Guinness,31833,Kyler Murray,QB,QB,-1.19,15.64
1,9,miniDITKAS,32676,Justin Herbert,QB,QB,9.63,15.84
1,6,Guinness,31905,David Montgomery,RB,RB,23.45,8.32
1,9,miniDITKAS,42625,Jeremiyah Love,RB,RB,9.5,7.49
1,6,Guinness,31960,Tony Pollard,RB,RB,2.2,6.59
1,9,miniDITKAS,42025,Kyle Monangai,RB,RB,13.2,5.15
1,6,Guinness,40168,Puka Nacua,WR,WR,6.2,11.66
1,9,miniDITKAS,40041,Jaxon Smith-Njigba,WR,WR,16.1,11.48
1,6,Guinness,33477,Nico Collins,WR,WR,13.6,9.27
1,9,miniDITKAS,33965,Garrett Wilson,WR,WR,6.95,8.26
1,6,Guinness,31107,Dalton Schultz,TE,TE,3.75,4.89
1,9,miniDITKAS,26686,Travis Kelce,TE,TE,5.05,5.54
1,6,Guinness,34007,George Pickens,WR,W/R/T,2.9,9.26
1,9,miniDITKAS,32703,Tee Higgins,WR,W/R/T,4.45,9.49
1,6,Guinness,40835,Jake Bates,K,K,7.0,8.15
1,9,miniDITKAS,28378,Jason Myers,K,K,7.0,7.67
1,6,Guinness,100026,Seahawks,DEF,DEF,13.0,6.71
1,9,miniDITKAS,100017,Patriots,DEF,DEF,6.0,5.56
1,6,Guinness,40878,Brock Bowers,TE,BN,0.0,0.0
1,9,miniDITKAS,33967,Jameson Williams,WR,BN,4.25,7.87
1,6,Guinness,40883,Brian Thomas Jr.,WR,BN,3.5,5.72
1,9,miniDITKAS,32725,J.K. Dobbins,RB,BN,1.8,5.23
1,6,Guinness,33514,Chuba Hubbard,RB,BN,17.85,6.79
1,9,miniDITKAS,40962,Blake Corum,RB,BN,2.7,5.71
1,6,Guinness,40231,Chris Rodriguez Jr.,RB,BN,1.15,4.55
1,9,miniDITKAS,30123,Patrick Mahomes,QB,BN,20.83,13.29
1,6,Guinness,41825,Tyler Shough,QB,BN,20.6,15.18
1,9,miniDITKAS,32231,Jakobi Meyers,WR,BN,9.1,5.6
1,6,Guinness,40877,Xavier Worthy,WR,BN,2.4,4.88
1,9,miniDITKAS,41808,Matthew Golden,WR,BN,7.75,5.57
